LOD-Artikel;Grondformen;Wuertaart
NUECHTIESSEN1;Nuechtiessen;Substantiv, Neutrum
NUES1;Nues;Substantiv, Femininum
NUMM1;Numm;Substantiv, Maskulinum
NUMMER1;Nummer;Substantiv, Femininum
O1;o;Interjektioun
OCH1;och;Adverb
ODER2;oder;Konjunktioun
OFFIZIELL1;offiziell;Adjektiv
OFSCHMAACHEN1;ofschmaachen;Verb
OFT1;oft;Adverb
OK1;ok;Partikel
OKTOBER1;Oktober;Substantiv, Maskulinum
OLIVENUELEG1;Olivenueleg;Substantiv, Maskulinum
ONSERIO1;onseriö;Adjektiv
ONSPORTLECH1;onsportlech;Adjektiv
ONSYMPATHESCH1;onsympathesch;Adjektiv
OP2;op;Prepositioun
OPHALEN1;ophalen;Verb
ORANGE1;Orange;Substantiv, Femininum
OSTEN1;Osten;Substantiv, Maskulinum
OUER1;Ouer;Substantiv, Neutrum
OUSCHTEREN2;Ouschteren;Substantiv, Neutrum
OWEND1;Owend;Substantiv, Maskulinum
OWES1;owes;Adverb
PACSEN1;pacsen;Verb
PAISCHTMEINDEG1;Päischtméindeg;Substantiv, Maskulinum
PAISCHTSONNDEG1;Päischtsonndeg;Substantiv, Maskulinum
PAK1;Pak;Substantiv, Maskulinum
PAN1;Pan;Substantiv, Femininum
PAPP1;Papp;Substantiv, Maskulinum
PAPPENDAG1;Pappendag;Substantiv, Maskulinum
PAPRIKA2;Paprika;Substantiv, Maskulinum/Femininum
PASCHTEIT1;Paschtéit;Substantiv, Femininum
PASTILL1;Pastill;Substantiv, Femininum
PATIENT1;Patient;Substantiv, Maskulinum
PATIENTIN1;Patientin;Substantiv, Femininum
PEFFER1;Peffer;Substantiv, Maskulinum
PERSOUN1;Persoun;Substantiv, Femininum
